time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0
33,0,2300,0,320,0.97,2020,0.058,0.482,0,300,0,125.23
34,0,2300,0,320,0.97,2020,0.058,0.482,0,300,0,125.23
36,0,2300,0,320,0.97,2020,0.058,0.482,0,300,0,125.23
37,0,2300,0,320,0.97,2020,0.058,0.482,0,300,0,125.23
38,0,2300,0,320,0.97,2020,0.058,0.482,0,300,0,125.23
40,0,2300,0,320,0.97,2020,0.058,0.482,0,300,0,125.23
41,0,2300,0,320,0.97,2020,0.058,0.482,0,300,0,125.23
42,0,5700,0,760,0.61,4920,0.04,0.279,0.026,780,0.001,61.15
44,0,5700,0,760,0.61,4920,0.04,0.279,0.026,780,0.001,61.15
45,0,5700,0,760,0.61,4920,0.04,0.279,0.026,780,0.001,61.15
46,0,5700,0,760,0.61,4920,0.04,0.279,0.026,780,0.001,61.15
48,0,5700,0,760,0.61,4920,0.04,0.279,0.026,780,0.001,61.15
49,0,5700,0,760,0.61,4920,0.04,0.279,0.026,780,0.001,61.15
51,0,5700,0,760,0.61,4920,0.04,0.279,0.026,780,0.001,61.15
52,0,8980,0,1240,0.454,7800,0.029,0.27,0.033,1220,0.001,39.116
54,0,8980,0,1240,0.454,7800,0.029,0.27,0.033,1220,0.001,39.116
55,0,8980,0,1240,0.454,7800,0.029,0.27,0.033,1220,0.001,39.116
56,0,8980,0,1240,0.454,7800,0.029,0.27,0.033,1220,0.001,39.116
58,0,8980,0,1240,0.454,7800,0.029,0.27,0.033,1220,0.001,39.116
59,0,8980,0,1240,0.454,7800,0.029,0.27,0.033,1220,0.001,39.116
60,0,8980,0,1240,0.454,7800,0.029,0.27,0.033,1220,0.001,39.116
62,0,8980,0,1240,0.454,7800,0.029,0.27,0.033,1220,0.001,39.116
63,0,13500,0,1860,0.371,11740,0.024,0.232,0.022,1800,0,27.259
65,0,13500,0,1860,0.371,11740,0.024,0.232,0.022,1800,0,27.259
66,0,13500,0,1860,0.371,11740,0.024,0.232,0.022,1800,0,27.259
67,0,13500,0,1860,0.371,11740,0.024,0.232,0.022,1800,0,27.259
69,0,13500,0,1860,0.371,11740,0.024,0.232,0.022,1800,0,27.259
70,0,13500,0,1860,0.371,11740,0.024,0.232,0.022,1800,0,27.259
71,0,13500,0,1860,0.371,11740,0.024,0.232,0.022,1800,0,27.259
73,0,16800,0,2300,0.351,14580,0.022,0.211,0.018,2240,0,22.797
74,0,16800,0,2300,0.351,14580,0.022,0.211,0.018,2240,0,22.797
75,0,16800,0,2300,0.351,14580,0.022,0.211,0.018,2240,0,22.797
77,0,16800,0,2300,0.351,14580,0.022,0.211,0.018,2240,0,22.797
78,0,16800,0,2300,0.351,14580,0.022,0.211,0.018,2240,0,22.797
80,0,16800,0,2300,0.351,14580,0.022,0.211,0.018,2240,0,22.797
81,0,16800,0,2300,0.351,14580,0.022,0.211,0.018,2240,0,22.797
82,0,16800,0,2300,0.351,14580,0.022,0.211,0.018,2240,0,22.797
84,0,20580,0,2840,0.331,17860,0.02,0.186,0.014,2780,0,20.158
85,0,20580,0,2840,0.331,17860,0.02,0.186,0.014,2780,0,20.158
87,0,20580,0,2840,0.331,17860,0.02,0.186,0.014,2780,0,20.158
88,0,20580,0,2840,0.331,17860,0.02,0.186,0.014,2780,0,20.158
90,0,20580,0,2840,0.331,17860,0.02,0.186,0.014,2780,0,20.158
91,0,20580,0,2840,0.331,17860,0.02,0.186,0.014,2780,0,20.158
92,0,20580,0,2840,0.331,17860,0.02,0.186,0.014,2780,0,20.158
94,0,24600,0,3340,0.3,21360,0.018,0.173,0.012,3340,0,17.334
95,0,24600,0,3340,0.3,21360,0.018,0.173,0.012,3340,0,17.334
96,0,24600,0,3340,0.3,21360,0.018,0.173,0.012,3340,0,17.334
98,0,24600,0,3340,0.3,21360,0.018,0.173,0.012,3340,0,17.334
99,0,24600,0,3340,0.3,21360,0.018,0.173,0.012,3340,0,17.334
100,0,24600,0,3340,0.3,21360,0.018,0.173,0.012,3340,0,17.334
102,0,24600,0,3340,0.3,21360,0.018,0.173,0.012,3340,0,17.334
103,0,28000,0,3780,0.291,24240,0.018,0.162,0.01,3840,0,15.946
104,0,28000,0,3780,0.291,24240,0.018,0.162,0.01,3840,0,15.946
