time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
51,0,3340,0,440,4.096,2720,0.263,2.716,0.043,460,0.001,249.01
52,0,3340,0,440,4.096,2720,0.263,2.716,0.043,460,0.001,249.01
54,0,3340,0,440,4.096,2720,0.263,2.716,0.043,460,0.001,249.01
56,0,3340,0,440,4.096,2720,0.263,2.716,0.043,460,0.001,249.01
57,0,3340,0,440,4.096,2720,0.263,2.716,0.043,460,0.001,249.01
58,0,3340,0,440,4.096,2720,0.263,2.716,0.043,460,0.001,249.01
60,0,3340,0,440,4.096,2720,0.263,2.716,0.043,460,0.001,249.01
61,0,6880,0,940,2.783,5900,0.247,1.366,0.043,940,0.001,128.57
63,0,6880,0,940,2.783,5900,0.247,1.366,0.043,940,0.001,128.57
64,0,6880,0,940,2.783,5900,0.247,1.366,0.043,940,0.001,128.57
65,0,6880,0,940,2.783,5900,0.247,1.366,0.043,940,0.001,128.57
67,0,6880,0,940,2.783,5900,0.247,1.366,0.043,940,0.001,128.57
68,0,6880,0,940,2.783,5900,0.247,1.366,0.043,940,0.001,128.57
70,0,6880,0,940,2.783,5900,0.247,1.366,0.043,940,0.001,128.57
71,0,10980,0,1480,1.851,9420,0.176,0.916,0.026,1520,0.001,85.974
72,0,10980,0,1480,1.851,9420,0.176,0.916,0.026,1520,0.001,85.974
74,0,10980,0,1480,1.851,9420,0.176,0.916,0.026,1520,0.001,85.974
75,0,10980,0,1480,1.851,9420,0.176,0.916,0.026,1520,0.001,85.974
76,0,10980,0,1480,1.851,9420,0.176,0.916,0.026,1520,0.001,85.974
78,0,10980,0,1480,1.851,9420,0.176,0.916,0.026,1520,0.001,85.974
79,0,10980,0,1480,1.851,9420,0.176,0.916,0.026,1520,0.001,85.974
80,0,10980,0,1480,1.851,9420,0.176,0.916,0.026,1520,0.001,85.974
82,0,14800,0,2000,1.448,12760,0.132,0.733,0.03,1980,0.001,73.167
83,0,14800,0,2000,1.448,12760,0.132,0.733,0.03,1980,0.001,73.167
84,0,14800,0,2000,1.448,12760,0.132,0.733,0.03,1980,0.001,73.167
86,0,14800,0,2000,1.448,12760,0.132,0.733,0.03,1980,0.001,73.167
87,0,14800,0,2000,1.448,12760,0.132,0.733,0.03,1980,0.001,73.167
88,0,14800,0,2000,1.448,12760,0.132,0.733,0.03,1980,0.001,73.167
90,0,14800,0,2000,1.448,12760,0.132,0.733,0.03,1980,0.001,73.167
91,0,18140,0,2440,1.268,15660,0.113,0.628,0.025,2440,0.001,62.525
92,0,18140,0,2440,1.268,15660,0.113,0.628,0.025,2440,0.001,62.525
94,0,18140,0,2440,1.268,15660,0.113,0.628,0.025,2440,0.001,62.525
95,0,18140,0,2440,1.268,15660,0.113,0.628,0.025,2440,0.001,62.525
96,0,18140,0,2440,1.268,15660,0.113,0.628,0.025,2440,0.001,62.525
98,0,18140,0,2440,1.268,15660,0.113,0.628,0.025,2440,0.001,62.525
99,0,18140,0,2440,1.268,15660,0.113,0.628,0.025,2440,0.001,62.525
101,0,18140,0,2440,1.268,15660,0.113,0.628,0.025,2440,0.001,62.525
102,0,21700,0,2920,1.1,18640,0.098,0.543,0.021,2920,0.001,55.29
103,0,21700,0,2920,1.1,18640,0.098,0.543,0.021,2920,0.001,55.29
105,0,21700,0,2920,1.1,18640,0.098,0.543,0.021,2920,0.001,55.29
106,0,21700,0,2920,1.1,18640,0.098,0.543,0.021,2920,0.001,55.29
107,0,21700,0,2920,1.1,18640,0.098,0.543,0.021,2920,0.001,55.29
109,0,21700,0,2920,1.1,18640,0.098,0.543,0.021,2920,0.001,55.29
