time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,1780,0,260,0.667,1440,0.06,0.434,0.417,240,0.011,144.96
34,0,1780,0,260,0.667,1440,0.06,0.434,0.417,240,0.011,144.96
35,0,1780,0,260,0.667,1440,0.06,0.434,0.417,240,0.011,144.96
37,0,1780,0,260,0.667,1440,0.06,0.434,0.417,240,0.011,144.96
38,0,1780,0,260,0.667,1440,0.06,0.434,0.417,240,0.011,144.96
40,0,1780,0,260,0.667,1440,0.06,0.434,0.417,240,0.011,144.96
41,0,1780,0,260,0.667,1440,0.06,0.434,0.417,240,0.011,144.96
42,0,5860,0,800,0.553,5100,0.044,0.257,0.128,780,0.004,49.594
44,0,5860,0,800,0.553,5100,0.044,0.257,0.128,780,0.004,49.594
45,0,5860,0,800,0.553,5100,0.044,0.257,0.128,780,0.004,49.594
46,0,5860,0,800,0.553,5100,0.044,0.257,0.128,780,0.004,49.594
48,0,5860,0,800,0.553,5100,0.044,0.257,0.128,780,0.004,49.594
49,0,5860,0,800,0.553,5100,0.044,0.257,0.128,780,0.004,49.594
50,0,5860,0,800,0.553,5100,0.044,0.257,0.128,780,0.004,49.594
52,0,9260,0,1260,0.445,7960,0.039,0.201,0.095,1260,0.003,34.784
53,0,9260,0,1260,0.445,7960,0.039,0.201,0.095,1260,0.003,34.784
55,0,9260,0,1260,0.445,7960,0.039,0.201,0.095,1260,0.003,34.784
56,0,9260,0,1260,0.445,7960,0.039,0.201,0.095,1260,0.003,34.784
57,0,9260,0,1260,0.445,7960,0.039,0.201,0.095,1260,0.003,34.784
59,0,9260,0,1260,0.445,7960,0.039,0.201,0.095,1260,0.003,34.784
60,0,9260,0,1260,0.445,7960,0.039,0.201,0.095,1260,0.003,34.784
61,0,9260,0,1260,0.445,7960,0.039,0.201,0.095,1260,0.003,34.784
63,0,12800,0,1760,0.373,11040,0.032,0.177,0.069,1740,0.002,26.513
64,0,12800,0,1760,0.373,11040,0.032,0.177,0.069,1740,0.002,26.513
65,0,12800,0,1760,0.373,11040,0.032,0.177,0.069,1740,0.002,26.513
67,0,12800,0,1760,0.373,11040,0.032,0.177,0.069,1740,0.002,26.513
68,0,12800,0,1760,0.373,11040,0.032,0.177,0.069,1740,0.002,26.513
70,0,12800,0,1760,0.373,11040,0.032,0.177,0.069,1740,0.002,26.513
71,0,12800,0,1760,0.373,11040,0.032,0.177,0.069,1740,0.002,26.513
73,0,16960,0,2280,0.33,14680,0.027,0.158,0.061,2280,0.002,21.345
74,0,16960,0,2280,0.33,14680,0.027,0.158,0.061,2280,0.002,21.345
75,0,16960,0,2280,0.33,14680,0.027,0.158,0.061,2280,0.002,21.345
77,0,16960,0,2280,0.33,14680,0.027,0.158,0.061,2280,0.002,21.345
78,0,16960,0,2280,0.33,14680,0.027,0.158,0.061,2280,0.002,21.345
79,0,16960,0,2280,0.33,14680,0.027,0.158,0.061,2280,0.002,21.345
81,0,16960,0,2280,0.33,14680,0.027,0.158,0.061,2280,0.002,21.345
82,0,16960,0,2280,0.33,14680,0.027,0.158,0.061,2280,0.002,21.345
83,0,20240,0,2740,0.317,17560,0.024,0.15,0.051,2740,0.001,18.516
85,0,20240,0,2740,0.317,17560,0.024,0.15,0.051,2740,0.001,18.516
86,0,20240,0,2740,0.317,17560,0.024,0.15,0.051,2740,0.001,18.516
87,0,20240,0,2740,0.317,17560,0.024,0.15,0.051,2740,0.001,18.516
89,0,20240,0,2740,0.317,17560,0.024,0.15,0.051,2740,0.001,18.516
90,0,20240,0,2740,0.317,17560,0.024,0.15,0.051,2740,0.001,18.516
91,0,20240,0,2740,0.317,17560,0.024,0.15,0.051,2740,0.001,18.516
93,0,24320,0,3320,0.302,21000,0.022,0.137,0.061,3280,0.001,15.943
94,0,24320,0,3320,0.302,21000,0.022,0.137,0.061,3280,0.001,15.943
95,0,24320,0,3320,0.302,21000,0.022,0.137,0.061,3280,0.001,15.943
97,0,24320,0,3320,0.302,21000,0.022,0.137,0.061,3280,0.001,15.943
98,0,24320,0,3320,0.302,21000,0.022,0.137,0.061,3280,0.001,15.943
99,0,24320,0,3320,0.302,21000,0.022,0.137,0.061,3280,0.001,15.943
101,0,24320,0,3320,0.302,21000,0.022,0.137,0.061,3280,0.001,15.943
