time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2920,0,360,1.047,2580,0.115,0.313,0.048,420,0.002,42.786
32,0,2920,0,360,1.047,2580,0.115,0.313,0.048,420,0.002,42.786
33,0,2920,0,360,1.047,2580,0.115,0.313,0.048,420,0.002,42.786
34,0,2920,0,360,1.047,2580,0.115,0.313,0.048,420,0.002,42.786
35,0,2920,0,360,1.047,2580,0.115,0.313,0.048,420,0.002,42.786
37,0,2920,0,360,1.047,2580,0.115,0.313,0.048,420,0.002,42.786
38,0,2920,0,360,1.047,2580,0.115,0.313,0.048,420,0.002,42.786
40,0,2920,0,360,1.047,2580,0.115,0.313,0.048,420,0.002,42.786
41,0,6060,0,800,0.789,5300,0.068,0.285,0.049,820,0.001,30.074
43,0,6060,0,800,0.789,5300,0.068,0.285,0.049,820,0.001,30.074
44,0,6060,0,800,0.789,5300,0.068,0.285,0.049,820,0.001,30.074
45,0,6060,0,800,0.789,5300,0.068,0.285,0.049,820,0.001,30.074
47,0,6060,0,800,0.789,5300,0.068,0.285,0.049,820,0.001,30.074
48,0,6060,0,800,0.789,5300,0.068,0.285,0.049,820,0.001,30.074
49,0,6060,0,800,0.789,5300,0.068,0.285,0.049,820,0.001,30.074
51,0,9420,0,1240,0.634,8080,0.052,0.237,0.045,1320,0.001,22.163
52,0,9420,0,1240,0.634,8080,0.052,0.237,0.045,1320,0.001,22.163
53,0,9420,0,1240,0.634,8080,0.052,0.237,0.045,1320,0.001,22.163
55,0,9420,0,1240,0.634,8080,0.052,0.237,0.045,1320,0.001,22.163
56,0,9420,0,1240,0.634,8080,0.052,0.237,0.045,1320,0.001,22.163
57,0,9420,0,1240,0.634,8080,0.052,0.237,0.045,1320,0.001,22.163
59,0,9420,0,1240,0.634,8080,0.052,0.237,0.045,1320,0.001,22.163
60,0,9420,0,1240,0.634,8080,0.052,0.237,0.045,1320,0.001,22.163
61,0,13880,0,1880,0.503,11980,0.041,0.185,0.032,1880,0,16.201
63,0,13880,0,1880,0.503,11980,0.041,0.185,0.032,1880,0,16.201
64,0,13880,0,1880,0.503,11980,0.041,0.185,0.032,1880,0,16.201
65,0,13880,0,1880,0.503,11980,0.041,0.185,0.032,1880,0,16.201
67,0,13880,0,1880,0.503,11980,0.041,0.185,0.032,1880,0,16.201
68,0,13880,0,1880,0.503,11980,0.041,0.185,0.032,1880,0,16.201
69,0,13880,0,1880,0.503,11980,0.041,0.185,0.032,1880,0,16.201
71,0,17240,0,2340,0.448,14900,0.037,0.168,0.034,2320,0.001,14.491
72,0,17240,0,2340,0.448,14900,0.037,0.168,0.034,2320,0.001,14.491
73,0,17240,0,2340,0.448,14900,0.037,0.168,0.034,2320,0.001,14.491
75,0,17240,0,2340,0.448,14900,0.037,0.168,0.034,2320,0.001,14.491
76,0,17240,0,2340,0.448,14900,0.037,0.168,0.034,2320,0.001,14.491
77,0,17240,0,2340,0.448,14900,0.037,0.168,0.034,2320,0.001,14.491
79,0,17240,0,2340,0.448,14900,0.037,0.168,0.034,2320,0.001,14.491
80,0,17240,0,2340,0.448,14900,0.037,0.168,0.034,2320,0.001,14.491
81,0,20540,0,2780,0.406,17740,0.034,0.153,0.029,2800,0.001,12.989
83,0,20540,0,2780,0.406,17740,0.034,0.153,0.029,2800,0.001,12.989
84,0,20540,0,2780,0.406,17740,0.034,0.153,0.029,2800,0.001,12.989
85,0,20540,0,2780,0.406,17740,0.034,0.153,0.029,2800,0.001,12.989
87,0,20540,0,2780,0.406,17740,0.034,0.153,0.029,2800,0.001,12.989
88,0,20540,0,2780,0.406,17740,0.034,0.153,0.029,2800,0.001,12.989
89,0,20540,0,2780,0.406,17740,0.034,0.153,0.029,2800,0.001,12.989
91,0,24980,0,3360,0.365,21640,0.03,0.143,0.024,3360,0.001,11.462
92,0,24980,0,3360,0.365,21640,0.03,0.143,0.024,3360,0.001,11.462
93,0,24980,0,3360,0.365,21640,0.03,0.143,0.024,3360,0.001,11.462
95,0,24980,0,3360,0.365,21640,0.03,0.143,0.024,3360,0.001,11.462
96,0,24980,0,3360,0.365,21640,0.03,0.143,0.024,3360,0.001,11.462
98,0,24980,0,3360,0.365,21640,0.03,0.143,0.024,3360,0.001,11.462
99,0,24980,0,3360,0.365,21640,0.03,0.143,0.024,3360,0.001,11.462
100,0,24980,0,3360,0.365,21640,0.03,0.143,0.024,3360,0.001,11.462
