time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,3040,0,400,0.868,2580,0.096,0.168,0.1,400,0.004,18.25
32,0,3040,0,400,0.868,2580,0.096,0.168,0.1,400,0.004,18.25
34,0,3040,0,400,0.868,2580,0.096,0.168,0.1,400,0.004,18.25
35,0,3040,0,400,0.868,2580,0.096,0.168,0.1,400,0.004,18.25
37,0,3040,0,400,0.868,2580,0.096,0.168,0.1,400,0.004,18.25
38,0,3040,0,400,0.868,2580,0.096,0.168,0.1,400,0.004,18.25
39,0,3040,0,400,0.868,2580,0.096,0.168,0.1,400,0.004,18.25
41,0,6320,0,820,0.605,5420,0.072,0.21,0.091,880,0.002,15.377
42,0,6320,0,820,0.605,5420,0.072,0.21,0.091,880,0.002,15.377
43,0,6320,0,820,0.605,5420,0.072,0.21,0.091,880,0.002,15.377
45,0,6320,0,820,0.605,5420,0.072,0.21,0.091,880,0.002,15.377
46,0,6320,0,820,0.605,5420,0.072,0.21,0.091,880,0.002,15.377
48,0,6320,0,820,0.605,5420,0.072,0.21,0.091,880,0.002,15.377
49,0,6320,0,820,0.605,5420,0.072,0.21,0.091,880,0.002,15.377
51,0,9660,0,1320,0.463,8380,0.057,0.192,0.061,1320,0.001,12.561
52,0,9660,0,1320,0.463,8380,0.057,0.192,0.061,1320,0.001,12.561
54,0,9660,0,1320,0.463,8380,0.057,0.192,0.061,1320,0.001,12.561
55,0,9660,0,1320,0.463,8380,0.057,0.192,0.061,1320,0.001,12.561
56,0,9660,0,1320,0.463,8380,0.057,0.192,0.061,1320,0.001,12.561
58,0,9660,0,1320,0.463,8380,0.057,0.192,0.061,1320,0.001,12.561
59,0,9660,0,1320,0.463,8380,0.057,0.192,0.061,1320,0.001,12.561
60,0,13440,0,1820,0.401,11660,0.047,0.163,0.044,1820,0.001,11.642
62,0,13440,0,1820,0.401,11660,0.047,0.163,0.044,1820,0.001,11.642
63,0,13440,0,1820,0.401,11660,0.047,0.163,0.044,1820,0.001,11.642
64,0,13440,0,1820,0.401,11660,0.047,0.163,0.044,1820,0.001,11.642
66,0,13440,0,1820,0.401,11660,0.047,0.163,0.044,1820,0.001,11.642
67,0,13440,0,1820,0.401,11660,0.047,0.163,0.044,1820,0.001,11.642
68,0,13440,0,1820,0.401,11660,0.047,0.163,0.044,1820,0.001,11.642
70,0,13440,0,1820,0.401,11660,0.047,0.163,0.044,1820,0.001,11.642
71,0,17580,0,2380,0.347,15040,0.038,0.15,0.042,2380,0.001,10.06
72,0,17580,0,2380,0.347,15040,0.038,0.15,0.042,2380,0.001,10.06
74,0,17580,0,2380,0.347,15040,0.038,0.15,0.042,2380,0.001,10.06
76,0,17580,0,2380,0.347,15040,0.038,0.15,0.042,2380,0.001,10.06
77,0,17580,0,2380,0.347,15040,0.038,0.15,0.042,2380,0.001,10.06
78,0,17580,0,2380,0.347,15040,0.038,0.15,0.042,2380,0.001,10.06
80,0,17580,0,2380,0.347,15040,0.038,0.15,0.042,2380,0.001,10.06
81,0,20880,0,2820,0.331,17980,0.035,0.137,0.043,2780,0.001,9.164
82,0,20880,0,2820,0.331,17980,0.035,0.137,0.043,2780,0.001,9.164
84,0,20880,0,2820,0.331,17980,0.035,0.137,0.043,2780,0.001,9.164
85,0,20880,0,2820,0.331,17980,0.035,0.137,0.043,2780,0.001,9.164
87,0,20880,0,2820,0.331,17980,0.035,0.137,0.043,2780,0.001,9.164
88,0,20880,0,2820,0.331,17980,0.035,0.137,0.043,2780,0.001,9.164
89,0,20880,0,2820,0.331,17980,0.035,0.137,0.043,2780,0.001,9.164
91,0,24500,0,3320,0.324,21260,0.033,0.125,0.048,3300,0.001,8.498
92,0,24500,0,3320,0.324,21260,0.033,0.125,0.048,3300,0.001,8.498
94,0,24500,0,3320,0.324,21260,0.033,0.125,0.048,3300,0.001,8.498
95,0,24500,0,3320,0.324,21260,0.033,0.125,0.048,3300,0.001,8.498
96,0,24500,0,3320,0.324,21260,0.033,0.125,0.048,3300,0.001,8.498
98,0,24500,0,3320,0.324,21260,0.033,0.125,0.048,3300,0.001,8.498
99,0,24500,0,3320,0.324,21260,0.033,0.125,0.048,3300,0.001,8.498
101,0,24500,0,3320,0.324,21260,0.033,0.125,0.048,3300,0.001,8.498
102,0,28780,0,3900,0.305,24880,0.031,0.127,0.042,3840,0.001,7.993
103,0,28780,0,3900,0.305,24880,0.031,0.127,0.042,3840,0.001,7.993
