time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2600,0,340,0.752,2340,0.076,0.12,0,320,0,16.781
32,0,2600,0,340,0.752,2340,0.076,0.12,0,320,0,16.781
33,0,2600,0,340,0.752,2340,0.076,0.12,0,320,0,16.781
34,0,2600,0,340,0.752,2340,0.076,0.12,0,320,0,16.781
36,0,2600,0,340,0.752,2340,0.076,0.12,0,320,0,16.781
37,0,2600,0,340,0.752,2340,0.076,0.12,0,320,0,16.781
38,0,2600,0,340,0.752,2340,0.076,0.12,0,320,0,16.781
40,0,2600,0,340,0.752,2340,0.076,0.12,0,320,0,16.781
41,0,6400,0,860,0.523,5580,0.053,0.178,0.044,900,0.001,21.825
42,0,6400,0,860,0.523,5580,0.053,0.178,0.044,900,0.001,21.825
44,0,6400,0,860,0.523,5580,0.053,0.178,0.044,900,0.001,21.825
45,0,6400,0,860,0.523,5580,0.053,0.178,0.044,900,0.001,21.825
46,0,6400,0,860,0.523,5580,0.053,0.178,0.044,900,0.001,21.825
48,0,6400,0,860,0.523,5580,0.053,0.178,0.044,900,0.001,21.825
49,0,6400,0,860,0.523,5580,0.053,0.178,0.044,900,0.001,21.825
50,0,9800,0,1300,0.429,8540,0.044,0.152,0.029,1360,0.001,17.392
52,0,9800,0,1300,0.429,8540,0.044,0.152,0.029,1360,0.001,17.392
54,0,9800,0,1300,0.429,8540,0.044,0.152,0.029,1360,0.001,17.392
55,0,9800,0,1300,0.429,8540,0.044,0.152,0.029,1360,0.001,17.392
56,0,9800,0,1300,0.429,8540,0.044,0.152,0.029,1360,0.001,17.392
58,0,9800,0,1300,0.429,8540,0.044,0.152,0.029,1360,0.001,17.392
59,0,9800,0,1300,0.429,8540,0.044,0.152,0.029,1360,0.001,17.392
60,0,13960,0,1840,0.375,12000,0.035,0.173,0.043,1880,0.001,14.247
62,0,13960,0,1840,0.375,12000,0.035,0.173,0.043,1880,0.001,14.247
63,0,13960,0,1840,0.375,12000,0.035,0.173,0.043,1880,0.001,14.247
64,0,13960,0,1840,0.375,12000,0.035,0.173,0.043,1880,0.001,14.247
66,0,13960,0,1840,0.375,12000,0.035,0.173,0.043,1880,0.001,14.247
67,0,13960,0,1840,0.375,12000,0.035,0.173,0.043,1880,0.001,14.247
68,0,13960,0,1840,0.375,12000,0.035,0.173,0.043,1880,0.001,14.247
70,0,13960,0,1840,0.375,12000,0.035,0.173,0.043,1880,0.001,14.247
71,0,17680,0,2400,0.329,15260,0.03,0.157,0.033,2420,0.001,12.251
72,0,17680,0,2400,0.329,15260,0.03,0.157,0.033,2420,0.001,12.251
74,0,17680,0,2400,0.329,15260,0.03,0.157,0.033,2420,0.001,12.251
75,0,17680,0,2400,0.329,15260,0.03,0.157,0.033,2420,0.001,12.251
76,0,17680,0,2400,0.329,15260,0.03,0.157,0.033,2420,0.001,12.251
78,0,17680,0,2400,0.329,15260,0.03,0.157,0.033,2420,0.001,12.251
79,0,17680,0,2400,0.329,15260,0.03,0.157,0.033,2420,0.001,12.251
81,0,17680,0,2400,0.329,15260,0.03,0.157,0.033,2420,0.001,12.251
82,0,20940,0,2800,0.303,18220,0.027,0.14,0.029,2800,0.001,11.036
83,0,20940,0,2800,0.303,18220,0.027,0.14,0.029,2800,0.001,11.036
85,0,20940,0,2800,0.303,18220,0.027,0.14,0.029,2800,0.001,11.036
86,0,20940,0,2800,0.303,18220,0.027,0.14,0.029,2800,0.001,11.036
87,0,20940,0,2800,0.303,18220,0.027,0.14,0.029,2800,0.001,11.036
89,0,20940,0,2800,0.303,18220,0.027,0.14,0.029,2800,0.001,11.036
90,0,20940,0,2800,0.303,18220,0.027,0.14,0.029,2800,0.001,11.036
91,0,25000,0,3400,0.302,21620,0.027,0.131,0.024,3400,0.001,9.746
93,0,25000,0,3400,0.302,21620,0.027,0.131,0.024,3400,0.001,9.746
94,0,25000,0,3400,0.302,21620,0.027,0.131,0.024,3400,0.001,9.746
95,0,25000,0,3400,0.302,21620,0.027,0.131,0.024,3400,0.001,9.746
97,0,25000,0,3400,0.302,21620,0.027,0.131,0.024,3400,0.001,9.746
98,0,25000,0,3400,0.302,21620,0.027,0.131,0.024,3400,0.001,9.746
99,0,25000,0,3400,0.302,21620,0.027,0.131,0.024,3400,0.001,9.746
101,0,28740,0,3880,0.31,24880,0.029,0.131,0.021,3860,0,9.211
