time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
31,0,2580,0,360,0.877,2280,0.056,0.568,0,340,0,114.47
32,0,2580,0,360,0.877,2280,0.056,0.568,0,340,0,114.47
33,0,2580,0,360,0.877,2280,0.056,0.568,0,340,0,114.47
35,0,2580,0,360,0.877,2280,0.056,0.568,0,340,0,114.47
36,0,2580,0,360,0.877,2280,0.056,0.568,0,340,0,114.47
37,0,2580,0,360,0.877,2280,0.056,0.568,0,340,0,114.47
39,0,2580,0,360,0.877,2280,0.056,0.568,0,340,0,114.47
40,0,2580,0,360,0.877,2280,0.056,0.568,0,340,0,114.47
42,0,5980,0,820,0.664,5180,0.036,0.301,0.024,840,0.001,56.731
43,0,5980,0,820,0.664,5180,0.036,0.301,0.024,840,0.001,56.731
44,0,5980,0,820,0.664,5180,0.036,0.301,0.024,840,0.001,56.731
46,0,5980,0,820,0.664,5180,0.036,0.301,0.024,840,0.001,56.731
47,0,5980,0,820,0.664,5180,0.036,0.301,0.024,840,0.001,56.731
48,0,5980,0,820,0.664,5180,0.036,0.301,0.024,840,0.001,56.731
50,0,5980,0,820,0.664,5180,0.036,0.301,0.024,840,0.001,56.731
51,0,9720,0,1320,0.507,8280,0.03,0.225,0.047,1280,0.001,34.731
52,0,9720,0,1320,0.507,8280,0.03,0.225,0.047,1280,0.001,34.731
54,0,9720,0,1320,0.507,8280,0.03,0.225,0.047,1280,0.001,34.731
55,0,9720,0,1320,0.507,8280,0.03,0.225,0.047,1280,0.001,34.731
56,0,9720,0,1320,0.507,8280,0.03,0.225,0.047,1280,0.001,34.731
58,0,9720,0,1320,0.507,8280,0.03,0.225,0.047,1280,0.001,34.731
59,0,9720,0,1320,0.507,8280,0.03,0.225,0.047,1280,0.001,34.731
60,0,9720,0,1320,0.507,8280,0.03,0.225,0.047,1280,0.001,34.731
62,0,13780,0,1880,0.432,11940,0.022,0.221,0.032,1900,0,27.469
63,0,13780,0,1880,0.432,11940,0.022,0.221,0.032,1900,0,27.469
64,0,13780,0,1880,0.432,11940,0.022,0.221,0.032,1900,0,27.469
66,0,13780,0,1880,0.432,11940,0.022,0.221,0.032,1900,0,27.469
67,0,13780,0,1880,0.432,11940,0.022,0.221,0.032,1900,0,27.469
68,0,13780,0,1880,0.432,11940,0.022,0.221,0.032,1900,0,27.469
70,0,13780,0,1880,0.432,11940,0.022,0.221,0.032,1900,0,27.469
71,0,17180,0,2320,0.396,14860,0.024,0.198,0.026,2320,0,21.99
72,0,17180,0,2320,0.396,14860,0.024,0.198,0.026,2320,0,21.99
74,0,17180,0,2320,0.396,14860,0.024,0.198,0.026,2320,0,21.99
75,0,17180,0,2320,0.396,14860,0.024,0.198,0.026,2320,0,21.99
77,0,17180,0,2320,0.396,14860,0.024,0.198,0.026,2320,0,21.99
78,0,17180,0,2320,0.396,14860,0.024,0.198,0.026,2320,0,21.99
79,0,17180,0,2320,0.396,14860,0.024,0.198,0.026,2320,0,21.99
81,0,17180,0,2320,0.396,14860,0.024,0.198,0.026,2320,0,21.99
82,0,20820,0,2820,0.375,17920,0.022,0.2,0.021,2800,0,19.344
83,0,20820,0,2820,0.375,17920,0.022,0.2,0.021,2800,0,19.344
85,0,20820,0,2820,0.375,17920,0.022,0.2,0.021,2800,0,19.344
87,0,20820,0,2820,0.375,17920,0.022,0.2,0.021,2800,0,19.344
88,0,20820,0,2820,0.375,17920,0.022,0.2,0.021,2800,0,19.344
89,0,20820,0,2820,0.375,17920,0.022,0.2,0.021,2800,0,19.344
91,0,20820,0,2820,0.375,17920,0.022,0.2,0.021,2800,0,19.344
92,0,24920,0,3400,0.343,21600,0.02,0.188,0.018,3360,0,16.992
93,0,24920,0,3400,0.343,21600,0.02,0.188,0.018,3360,0,16.992
95,0,24920,0,3400,0.343,21600,0.02,0.188,0.018,3360,0,16.992
96,0,24920,0,3400,0.343,21600,0.02,0.188,0.018,3360,0,16.992
97,0,24920,0,3400,0.343,21600,0.02,0.188,0.018,3360,0,16.992
99,0,24920,0,3400,0.343,21600,0.02,0.188,0.018,3360,0,16.992
100,0,24920,0,3400,0.343,21600,0.02,0.188,0.018,3360,0,16.992
101,0,28300,0,3840,0.326,24460,0.02,0.179,0.016,3840,0,15.738
103,0,28300,0,3840,0.326,24460,0.02,0.179,0.016,3840,0,15.738
