time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,1720,0,240,1.493,1500,0.174,0.36,0.5,280,0.007,14.893
31,0,1720,0,240,1.493,1500,0.174,0.36,0.5,280,0.007,14.893
32,0,1720,0,240,1.493,1500,0.174,0.36,0.5,280,0.007,14.893
34,0,1720,0,240,1.493,1500,0.174,0.36,0.5,280,0.007,14.893
35,0,1720,0,240,1.493,1500,0.174,0.36,0.5,280,0.007,14.893
37,0,1720,0,240,1.493,1500,0.174,0.36,0.5,280,0.007,14.893
38,0,1720,0,240,1.493,1500,0.174,0.36,0.5,280,0.007,14.893
39,0,6060,0,820,0.644,5280,0.061,0.238,0.268,820,0.004,21.561
41,0,6060,0,820,0.644,5280,0.061,0.238,0.268,820,0.004,21.561
42,0,6060,0,820,0.644,5280,0.061,0.238,0.268,820,0.004,21.561
43,0,6060,0,820,0.644,5280,0.061,0.238,0.268,820,0.004,21.561
45,0,6060,0,820,0.644,5280,0.061,0.238,0.268,820,0.004,21.561
46,0,6060,0,820,0.644,5280,0.061,0.238,0.268,820,0.004,21.561
48,0,6060,0,820,0.644,5280,0.061,0.238,0.268,820,0.004,21.561
49,0,9440,0,1300,0.528,8140,0.043,0.212,0.175,1260,0.003,16.262
50,0,9440,0,1300,0.528,8140,0.043,0.212,0.175,1260,0.003,16.262
52,0,9440,0,1300,0.528,8140,0.043,0.212,0.175,1260,0.003,16.262
53,0,9440,0,1300,0.528,8140,0.043,0.212,0.175,1260,0.003,16.262
54,0,9440,0,1300,0.528,8140,0.043,0.212,0.175,1260,0.003,16.262
56,0,9440,0,1300,0.528,8140,0.043,0.212,0.175,1260,0.003,16.262
57,0,9440,0,1300,0.528,8140,0.043,0.212,0.175,1260,0.003,16.262
59,0,9440,0,1300,0.528,8140,0.043,0.212,0.175,1260,0.003,16.262
60,0,12740,0,1740,0.454,11060,0.033,0.186,0.14,1720,0.003,13.305
61,0,12740,0,1740,0.454,11060,0.033,0.186,0.14,1720,0.003,13.305
63,0,12740,0,1740,0.454,11060,0.033,0.186,0.14,1720,0.003,13.305
64,0,12740,0,1740,0.454,11060,0.033,0.186,0.14,1720,0.003,13.305
65,0,12740,0,1740,0.454,11060,0.033,0.186,0.14,1720,0.003,13.305
67,0,12740,0,1740,0.454,11060,0.033,0.186,0.14,1720,0.003,13.305
68,0,12740,0,1740,0.454,11060,0.033,0.186,0.14,1720,0.003,13.305
70,0,17280,0,2340,0.387,14940,0.026,0.162,0.103,2340,0.002,11.218
71,0,17280,0,2340,0.387,14940,0.026,0.162,0.103,2340,0.002,11.218
72,0,17280,0,2340,0.387,14940,0.026,0.162,0.103,2340,0.002,11.218
74,0,17280,0,2340,0.387,14940,0.026,0.162,0.103,2340,0.002,11.218
75,0,17280,0,2340,0.387,14940,0.026,0.162,0.103,2340,0.002,11.218
76,0,17280,0,2340,0.387,14940,0.026,0.162,0.103,2340,0.002,11.218
78,0,17280,0,2340,0.387,14940,0.026,0.162,0.103,2340,0.002,11.218
79,0,20740,0,2820,0.343,17920,0.022,0.144,0.094,2780,0.002,9.763
80,0,20740,0,2820,0.343,17920,0.022,0.144,0.094,2780,0.002,9.763
82,0,20740,0,2820,0.343,17920,0.022,0.144,0.094,2780,0.002,9.763
84,0,20740,0,2820,0.343,17920,0.022,0.144,0.094,2780,0.002,9.763
85,0,20740,0,2820,0.343,17920,0.022,0.144,0.094,2780,0.002,9.763
87,0,20740,0,2820,0.343,17920,0.022,0.144,0.094,2780,0.002,9.763
88,0,20740,0,2820,0.343,17920,0.022,0.144,0.094,2780,0.002,9.763
89,0,24140,0,3240,0.325,20860,0.02,0.131,0.085,3280,0.002,9.073
91,0,24140,0,3240,0.325,20860,0.02,0.131,0.085,3280,0.002,9.073
92,0,24140,0,3240,0.325,20860,0.02,0.131,0.085,3280,0.002,9.073
93,0,24140,0,3240,0.325,20860,0.02,0.131,0.085,3280,0.002,9.073
95,0,24140,0,3240,0.325,20860,0.02,0.131,0.085,3280,0.002,9.073
96,0,24140,0,3240,0.325,20860,0.02,0.131,0.085,3280,0.002,9.073
97,0,24140,0,3240,0.325,20860,0.02,0.131,0.085,3280,0.002,9.073
99,0,24140,0,3240,0.325,20860,0.02,0.131,0.085,3280,0.002,9.073
100,0,28620,0,3860,0.301,24800,0.018,0.125,0.073,3840,0.001,8.208
101,0,28620,0,3860,0.301,24800,0.018,0.125,0.073,3840,0.001,8.208
