time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0,2380,0,320,0.854,2060,0.041,0.312,0.063,320,0.001,45.146
33,0,2380,0,320,0.854,2060,0.041,0.312,0.063,320,0.001,45.146
34,0,2380,0,320,0.854,2060,0.041,0.312,0.063,320,0.001,45.146
36,0,2380,0,320,0.854,2060,0.041,0.312,0.063,320,0.001,45.146
37,0,2380,0,320,0.854,2060,0.041,0.312,0.063,320,0.001,45.146
38,0,2380,0,320,0.854,2060,0.041,0.312,0.063,320,0.001,45.146
41,0,2380,0,320,0.854,2060,0.041,0.312,0.063,320,0.001,45.146
42,0,5880,0,800,0.496,4960,0.028,0.221,0.051,780,0.001,22.15
44,0,5880,0,800,0.496,4960,0.028,0.221,0.051,780,0.001,22.15
45,0,5880,0,800,0.496,4960,0.028,0.221,0.051,780,0.001,22.15
46,0,5880,0,800,0.496,4960,0.028,0.221,0.051,780,0.001,22.15
48,0,5880,0,800,0.496,4960,0.028,0.221,0.051,780,0.001,22.15
49,0,5880,0,800,0.496,4960,0.028,0.221,0.051,780,0.001,22.15
50,0,5880,0,800,0.496,4960,0.028,0.221,0.051,780,0.001,22.15
52,0,9520,0,1280,0.395,8260,0.023,0.22,0.063,1260,0.001,16.479
54,0,9520,0,1280,0.395,8260,0.023,0.22,0.063,1260,0.001,16.479
55,0,9520,0,1280,0.395,8260,0.023,0.22,0.063,1260,0.001,16.479
56,0,9520,0,1280,0.395,8260,0.023,0.22,0.063,1260,0.001,16.479
58,0,9520,0,1280,0.395,8260,0.023,0.22,0.063,1260,0.001,16.479
59,0,9520,0,1280,0.395,8260,0.023,0.22,0.063,1260,0.001,16.479
60,0,9520,0,1280,0.395,8260,0.023,0.22,0.063,1260,0.001,16.479
62,0,9520,0,1280,0.395,8260,0.023,0.22,0.063,1260,0.001,16.479
63,0,13540,0,1820,0.342,11700,0.02,0.179,0.044,1820,0.001,13.378
64,0,13540,0,1820,0.342,11700,0.02,0.179,0.044,1820,0.001,13.378
66,0,13540,0,1820,0.342,11700,0.02,0.179,0.044,1820,0.001,13.378
67,0,13540,0,1820,0.342,11700,0.02,0.179,0.044,1820,0.001,13.378
68,0,13540,0,1820,0.342,11700,0.02,0.179,0.044,1820,0.001,13.378
70,0,13540,0,1820,0.342,11700,0.02,0.179,0.044,1820,0.001,13.378
71,0,13540,0,1820,0.342,11700,0.02,0.179,0.044,1820,0.001,13.378
72,0,16860,0,2280,0.306,14560,0.018,0.158,0.045,2240,0.001,12.241
73,0,16860,0,2280,0.306,14560,0.018,0.158,0.045,2240,0.001,12.241
75,0,16860,0,2280,0.306,14560,0.018,0.158,0.045,2240,0.001,12.241
76,0,16860,0,2280,0.306,14560,0.018,0.158,0.045,2240,0.001,12.241
77,0,16860,0,2280,0.306,14560,0.018,0.158,0.045,2240,0.001,12.241
79,0,16860,0,2280,0.306,14560,0.018,0.158,0.045,2240,0.001,12.241
80,0,16860,0,2280,0.306,14560,0.018,0.158,0.045,2240,0.001,12.241
81,0,16860,0,2280,0.306,14560,0.018,0.158,0.045,2240,0.001,12.241
83,0,20700,0,2820,0.283,17920,0.017,0.146,0.043,2820,0.001,10.874
84,0,20700,0,2820,0.283,17920,0.017,0.146,0.043,2820,0.001,10.874
85,0,20700,0,2820,0.283,17920,0.017,0.146,0.043,2820,0.001,10.874
87,0,20700,0,2820,0.283,17920,0.017,0.146,0.043,2820,0.001,10.874
88,0,20700,0,2820,0.283,17920,0.017,0.146,0.043,2820,0.001,10.874
89,0,20700,0,2820,0.283,17920,0.017,0.146,0.043,2820,0.001,10.874
91,0,20700,0,2820,0.283,17920,0.017,0.146,0.043,2820,0.001,10.874
92,0,24800,0,3340,0.26,21400,0.015,0.142,0.042,3320,0.001,9.868
93,0,24800,0,3340,0.26,21400,0.015,0.142,0.042,3320,0.001,9.868
95,0,24800,0,3340,0.26,21400,0.015,0.142,0.042,3320,0.001,9.868
96,0,24800,0,3340,0.26,21400,0.015,0.142,0.042,3320,0.001,9.868
97,0,24800,0,3340,0.26,21400,0.015,0.142,0.042,3320,0.001,9.868
99,0,24800,0,3340,0.26,21400,0.015,0.142,0.042,3320,0.001,9.868
100,0,24800,0,3340,0.26,21400,0.015,0.142,0.042,3320,0.001,9.868
102,0,24800,0,3340,0.26,21400,0.015,0.142,0.042,3320,0.001,9.868
