time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,1880,0,260,1.744,1640,0.098,1.026,0,220,0,37
32,0,1880,0,260,1.744,1640,0.098,1.026,0,220,0,37
34,0,1880,0,260,1.744,1640,0.098,1.026,0,220,0,37
36,0,1880,0,260,1.744,1640,0.098,1.026,0,220,0,37
37,0,1880,0,260,1.744,1640,0.098,1.026,0,220,0,37
38,0,1880,0,260,1.744,1640,0.098,1.026,0,220,0,37
40,0,1880,0,260,1.744,1640,0.098,1.026,0,220,0,37
41,0,5740,0,780,0.777,4840,0.065,0.466,0,780,0,20.256
42,0,5740,0,780,0.777,4840,0.065,0.466,0,780,0,20.256
44,0,5740,0,780,0.777,4840,0.065,0.466,0,780,0,20.256
45,0,5740,0,780,0.777,4840,0.065,0.466,0,780,0,20.256
47,0,5740,0,780,0.777,4840,0.065,0.466,0,780,0,20.256
48,0,5740,0,780,0.777,4840,0.065,0.466,0,780,0,20.256
50,0,5740,0,780,0.777,4840,0.065,0.466,0,780,0,20.256
51,0,9400,0,1240,0.555,8140,0.048,0.322,0.016,1280,0.001,15.493
52,0,9400,0,1240,0.555,8140,0.048,0.322,0.016,1280,0.001,15.493
54,0,9400,0,1240,0.555,8140,0.048,0.322,0.016,1280,0.001,15.493
55,0,9400,0,1240,0.555,8140,0.048,0.322,0.016,1280,0.001,15.493
56,0,9400,0,1240,0.555,8140,0.048,0.322,0.016,1280,0.001,15.493
59,0,9400,0,1240,0.555,8140,0.048,0.322,0.016,1280,0.001,15.493
60,0,9400,0,1240,0.555,8140,0.048,0.322,0.016,1280,0.001,15.493
61,0,12760,0,1720,0.476,11060,0.04,0.263,0.023,1760,0.001,12.964
63,0,12760,0,1720,0.476,11060,0.04,0.263,0.023,1760,0.001,12.964
64,0,12760,0,1720,0.476,11060,0.04,0.263,0.023,1760,0.001,12.964
65,0,12760,0,1720,0.476,11060,0.04,0.263,0.023,1760,0.001,12.964
67,0,12760,0,1720,0.476,11060,0.04,0.263,0.023,1760,0.001,12.964
68,0,12760,0,1720,0.476,11060,0.04,0.263,0.023,1760,0.001,12.964
69,0,12760,0,1720,0.476,11060,0.04,0.263,0.023,1760,0.001,12.964
71,0,16380,0,2220,0.405,14060,0.034,0.226,0.027,2240,0.001,11.399
72,0,16380,0,2220,0.405,14060,0.034,0.226,0.027,2240,0.001,11.399
73,0,16380,0,2220,0.405,14060,0.034,0.226,0.027,2240,0.001,11.399
75,0,16380,0,2220,0.405,14060,0.034,0.226,0.027,2240,0.001,11.399
76,0,16380,0,2220,0.405,14060,0.034,0.226,0.027,2240,0.001,11.399
77,0,16380,0,2220,0.405,14060,0.034,0.226,0.027,2240,0.001,11.399
79,0,16380,0,2220,0.405,14060,0.034,0.226,0.027,2240,0.001,11.399
80,0,16380,0,2220,0.405,14060,0.034,0.226,0.027,2240,0.001,11.399
81,0,20500,0,2780,0.363,17740,0.03,0.196,0.022,2760,0.001,10.478
83,0,20500,0,2780,0.363,17740,0.03,0.196,0.022,2760,0.001,10.478
84,0,20500,0,2780,0.363,17740,0.03,0.196,0.022,2760,0.001,10.478
85,0,20500,0,2780,0.363,17740,0.03,0.196,0.022,2760,0.001,10.478
87,0,20500,0,2780,0.363,17740,0.03,0.196,0.022,2760,0.001,10.478
88,0,20500,0,2780,0.363,17740,0.03,0.196,0.022,2760,0.001,10.478
89,0,20500,0,2780,0.363,17740,0.03,0.196,0.022,2760,0.001,10.478
92,0,23900,0,3280,0.342,20600,0.027,0.177,0.024,3280,0.001,9.465
93,0,23900,0,3280,0.342,20600,0.027,0.177,0.024,3280,0.001,9.465
95,0,23900,0,3280,0.342,20600,0.027,0.177,0.024,3280,0.001,9.465
96,0,23900,0,3280,0.342,20600,0.027,0.177,0.024,3280,0.001,9.465
97,0,23900,0,3280,0.342,20600,0.027,0.177,0.024,3280,0.001,9.465
99,0,23900,0,3280,0.342,20600,0.027,0.177,0.024,3280,0.001,9.465
100,0,23900,0,3280,0.342,20600,0.027,0.177,0.024,3280,0.001,9.465
101,0,27220,0,3700,0.32,23440,0.025,0.164,0.021,3740,0.001,9.015
103,0,27220,0,3700,0.32,23440,0.025,0.164,0.021,3740,0.001,9.015
104,0,27220,0,3700,0.32,23440,0.025,0.164,0.021,3740,0.001,9.015
105,0,27220,0,3700,0.32,23440,0.025,0.164,0.021,3740,0.001,9.015
