time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,3440,0,460,3.321,2800,0.284,3.461,0,460,0,253.39
56,0,3440,0,460,3.321,2800,0.284,3.461,0,460,0,253.39
57,0,3440,0,460,3.321,2800,0.284,3.461,0,460,0,253.39
59,0,3440,0,460,3.321,2800,0.284,3.461,0,460,0,253.39
60,0,3440,0,460,3.321,2800,0.284,3.461,0,460,0,253.39
62,0,3440,0,460,3.321,2800,0.284,3.461,0,460,0,253.39
63,0,7040,0,960,1.886,6140,0.2,1.753,0.021,940,0.001,136.5
64,0,7040,0,960,1.886,6140,0.2,1.753,0.021,940,0.001,136.5
66,0,7040,0,960,1.886,6140,0.2,1.753,0.021,940,0.001,136.5
67,0,7040,0,960,1.886,6140,0.2,1.753,0.021,940,0.001,136.5
68,0,7040,0,960,1.886,6140,0.2,1.753,0.021,940,0.001,136.5
70,0,7040,0,960,1.886,6140,0.2,1.753,0.021,940,0.001,136.5
71,0,7040,0,960,1.886,6140,0.2,1.753,0.021,940,0.001,136.5
72,0,7040,0,960,1.886,6140,0.2,1.753,0.021,940,0.001,136.5
74,0,11100,0,1520,1.424,9520,0.157,1.191,0.027,1480,0.001,92.831
75,0,11100,0,1520,1.424,9520,0.157,1.191,0.027,1480,0.001,92.831
76,0,11100,0,1520,1.424,9520,0.157,1.191,0.027,1480,0.001,92.831
78,0,11100,0,1520,1.424,9520,0.157,1.191,0.027,1480,0.001,92.831
79,0,11100,0,1520,1.424,9520,0.157,1.191,0.027,1480,0.001,92.831
80,0,11100,0,1520,1.424,9520,0.157,1.191,0.027,1480,0.001,92.831
82,0,11100,0,1520,1.424,9520,0.157,1.191,0.027,1480,0.001,92.831
84,0,14360,0,1940,1.156,12420,0.126,0.947,0.021,1940,0,75.108
85,0,14360,0,1940,1.156,12420,0.126,0.947,0.021,1940,0,75.108
87,0,14360,0,1940,1.156,12420,0.126,0.947,0.021,1940,0,75.108
88,0,14360,0,1940,1.156,12420,0.126,0.947,0.021,1940,0,75.108
89,0,14360,0,1940,1.156,12420,0.126,0.947,0.021,1940,0,75.108
91,0,14360,0,1940,1.156,12420,0.126,0.947,0.021,1940,0,75.108
92,0,14360,0,1940,1.156,12420,0.126,0.947,0.021,1940,0,75.108
93,0,17580,0,2380,1.039,15200,0.107,0.8,0.025,2380,0,65.53
95,0,17580,0,2380,1.039,15200,0.107,0.8,0.025,2380,0,65.53
96,0,17580,0,2380,1.039,15200,0.107,0.8,0.025,2380,0,65.53
97,0,17580,0,2380,1.039,15200,0.107,0.8,0.025,2380,0,65.53
99,0,17580,0,2380,1.039,15200,0.107,0.8,0.025,2380,0,65.53
100,0,17580,0,2380,1.039,15200,0.107,0.8,0.025,2380,0,65.53
101,0,17580,0,2380,1.039,15200,0.107,0.8,0.025,2380,0,65.53
103,0,17580,0,2380,1.039,15200,0.107,0.8,0.025,2380,0,65.53
104,0,21280,0,2880,0.921,18400,0.093,0.686,0.021,2860,0,56.457
105,0,21280,0,2880,0.921,18400,0.093,0.686,0.021,2860,0,56.457
107,0,21280,0,2880,0.921,18400,0.093,0.686,0.021,2860,0,56.457
108,0,21280,0,2880,0.921,18400,0.093,0.686,0.021,2860,0,56.457
110,0,21280,0,2880,0.921,18400,0.093,0.686,0.021,2860,0,56.457
111,0,21280,0,2880,0.921,18400,0.093,0.686,0.021,2860,0,56.457
112,0,21280,0,2880,0.921,18400,0.093,0.686,0.021,2860,0,56.457
