time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,2520,0,340,0.565,2160,0.023,0.252,0.067,300,0.002,25.333
32,0,2520,0,340,0.565,2160,0.023,0.252,0.067,300,0.002,25.333
34,0,2520,0,340,0.565,2160,0.023,0.252,0.067,300,0.002,25.333
35,0,2520,0,340,0.565,2160,0.023,0.252,0.067,300,0.002,25.333
36,0,2520,0,340,0.565,2160,0.023,0.252,0.067,300,0.002,25.333
38,0,2520,0,340,0.565,2160,0.023,0.252,0.067,300,0.002,25.333
39,0,2520,0,340,0.565,2160,0.023,0.252,0.067,300,0.002,25.333
41,0,5880,0,780,0.383,5060,0.022,0.236,0.1,800,0.001,17.516
42,0,5880,0,780,0.383,5060,0.022,0.236,0.1,800,0.001,17.516
43,0,5880,0,780,0.383,5060,0.022,0.236,0.1,800,0.001,17.516
45,0,5880,0,780,0.383,5060,0.022,0.236,0.1,800,0.001,17.516
47,0,5880,0,780,0.383,5060,0.022,0.236,0.1,800,0.001,17.516
48,0,5880,0,780,0.383,5060,0.022,0.236,0.1,800,0.001,17.516
49,0,5880,0,780,0.383,5060,0.022,0.236,0.1,800,0.001,17.516
51,0,10340,0,1400,0.293,8860,0.017,0.175,0.075,1340,0.001,13.049
53,0,10340,0,1400,0.293,8860,0.017,0.175,0.075,1340,0.001,13.049
54,0,10340,0,1400,0.293,8860,0.017,0.175,0.075,1340,0.001,13.049
56,0,10340,0,1400,0.293,8860,0.017,0.175,0.075,1340,0.001,13.049
57,0,10340,0,1400,0.293,8860,0.017,0.175,0.075,1340,0.001,13.049
58,0,10340,0,1400,0.293,8860,0.017,0.175,0.075,1340,0.001,13.049
60,0,10340,0,1400,0.293,8860,0.017,0.175,0.075,1340,0.001,13.049
61,0,13760,0,1880,0.273,11860,0.017,0.158,0.054,1860,0.001,11.358
62,0,13760,0,1880,0.273,11860,0.017,0.158,0.054,1860,0.001,11.358
64,0,13760,0,1880,0.273,11860,0.017,0.158,0.054,1860,0.001,11.358
66,0,13760,0,1880,0.273,11860,0.017,0.158,0.054,1860,0.001,11.358
67,0,13760,0,1880,0.273,11860,0.017,0.158,0.054,1860,0.001,11.358
68,0,13760,0,1880,0.273,11860,0.017,0.158,0.054,1860,0.001,11.358
70,0,13760,0,1880,0.273,11860,0.017,0.158,0.054,1860,0.001,11.358
71,0,17100,0,2320,0.257,14760,0.016,0.159,0.06,2340,0.001,10.271
72,0,17100,0,2320,0.257,14760,0.016,0.159,0.06,2340,0.001,10.271
74,0,17100,0,2320,0.257,14760,0.016,0.159,0.06,2340,0.001,10.271
75,0,17100,0,2320,0.257,14760,0.016,0.159,0.06,2340,0.001,10.271
76,0,17100,0,2320,0.257,14760,0.016,0.159,0.06,2340,0.001,10.271
78,0,17100,0,2320,0.257,14760,0.016,0.159,0.06,2340,0.001,10.271
79,0,17100,0,2320,0.257,14760,0.016,0.159,0.06,2340,0.001,10.271
80,0,17100,0,2320,0.257,14760,0.016,0.159,0.06,2340,0.001,10.271
82,0,21200,0,2880,0.246,18220,0.015,0.143,0.056,2860,0.001,9.118
83,0,21200,0,2880,0.246,18220,0.015,0.143,0.056,2860,0.001,9.118
84,0,21200,0,2880,0.246,18220,0.015,0.143,0.056,2860,0.001,9.118
86,0,21200,0,2880,0.246,18220,0.015,0.143,0.056,2860,0.001,9.118
87,0,21200,0,2880,0.246,18220,0.015,0.143,0.056,2860,0.001,9.118
88,0,21200,0,2880,0.246,18220,0.015,0.143,0.056,2860,0.001,9.118
90,0,21200,0,2880,0.246,18220,0.015,0.143,0.056,2860,0.001,9.118
91,0,24980,0,3400,0.252,21600,0.014,0.133,0.048,3300,0.001,8.216
92,0,24980,0,3400,0.252,21600,0.014,0.133,0.048,3300,0.001,8.216
94,0,24980,0,3400,0.252,21600,0.014,0.133,0.048,3300,0.001,8.216
95,0,24980,0,3400,0.252,21600,0.014,0.133,0.048,3300,0.001,8.216
97,0,24980,0,3400,0.252,21600,0.014,0.133,0.048,3300,0.001,8.216
98,0,24980,0,3400,0.252,21600,0.014,0.133,0.048,3300,0.001,8.216
99,0,24980,0,3400,0.252,21600,0.014,0.133,0.048,3300,0.001,8.216
100,0,24980,0,3400,0.252,21600,0.014,0.133,0.048,3300,0.001,8.216
102,0,28380,0,3880,0.243,24480,0.014,0.128,0.052,3820,0.001,7.733
