time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0,1640,0,280,1.076,1320,0.041,0.553,0.083,240,0.002,18.542
33,0,1640,0,280,1.076,1320,0.041,0.553,0.083,240,0.002,18.542
34,0,1640,0,280,1.076,1320,0.041,0.553,0.083,240,0.002,18.542
35,0,1640,0,280,1.076,1320,0.041,0.553,0.083,240,0.002,18.542
37,0,1640,0,280,1.076,1320,0.041,0.553,0.083,240,0.002,18.542
38,0,1640,0,280,1.076,1320,0.041,0.553,0.083,240,0.002,18.542
39,0,1640,0,280,1.076,1320,0.041,0.553,0.083,240,0.002,18.542
41,0,5500,0,780,0.517,4760,0.029,0.36,0.027,740,0.001,89.547
43,0,5500,0,780,0.517,4760,0.029,0.36,0.027,740,0.001,89.547
44,0,5500,0,780,0.517,4760,0.029,0.36,0.027,740,0.001,89.547
45,0,5500,0,780,0.517,4760,0.029,0.36,0.027,740,0.001,89.547
47,0,5500,0,780,0.517,4760,0.029,0.36,0.027,740,0.001,89.547
48,0,5500,0,780,0.517,4760,0.029,0.36,0.027,740,0.001,89.547
49,0,5500,0,780,0.517,4760,0.029,0.36,0.027,740,0.001,89.547
51,0,5500,0,780,0.517,4760,0.029,0.36,0.027,740,0.001,89.547
52,0,8780,0,1200,0.398,7680,0.022,0.284,0.017,1200,0.001,58.118
53,0,8780,0,1200,0.398,7680,0.022,0.284,0.017,1200,0.001,58.118
55,0,8780,0,1200,0.398,7680,0.022,0.284,0.017,1200,0.001,58.118
56,0,8780,0,1200,0.398,7680,0.022,0.284,0.017,1200,0.001,58.118
57,0,8780,0,1200,0.398,7680,0.022,0.284,0.017,1200,0.001,58.118
59,0,8780,0,1200,0.398,7680,0.022,0.284,0.017,1200,0.001,58.118
60,0,8780,0,1200,0.398,7680,0.022,0.284,0.017,1200,0.001,58.118
61,0,8780,0,1200,0.398,7680,0.022,0.284,0.017,1200,0.001,58.118
63,0,12960,0,1760,0.352,11200,0.02,0.238,0.011,1780,0,41.506
64,0,12960,0,1760,0.352,11200,0.02,0.238,0.011,1780,0,41.506
65,0,12960,0,1760,0.352,11200,0.02,0.238,0.011,1780,0,41.506
67,0,12960,0,1760,0.352,11200,0.02,0.238,0.011,1780,0,41.506
68,0,12960,0,1760,0.352,11200,0.02,0.238,0.011,1780,0,41.506
69,0,12960,0,1760,0.352,11200,0.02,0.238,0.011,1780,0,41.506
71,0,12960,0,1760,0.352,11200,0.02,0.238,0.011,1780,0,41.506
72,0,16260,0,2200,0.319,14100,0.017,0.21,0.009,2180,0,34.309
73,0,16260,0,2200,0.319,14100,0.017,0.21,0.009,2180,0,34.309
75,0,16260,0,2200,0.319,14100,0.017,0.21,0.009,2180,0,34.309
76,0,16260,0,2200,0.319,14100,0.017,0.21,0.009,2180,0,34.309
77,0,16260,0,2200,0.319,14100,0.017,0.21,0.009,2180,0,34.309
79,0,16260,0,2200,0.319,14100,0.017,0.21,0.009,2180,0,34.309
80,0,16260,0,2200,0.319,14100,0.017,0.21,0.009,2180,0,34.309
81,0,16260,0,2200,0.319,14100,0.017,0.21,0.009,2180,0,34.309
83,0,19940,0,2720,0.291,17340,0.015,0.185,0.007,2700,0,29.138
84,0,19940,0,2720,0.291,17340,0.015,0.185,0.007,2700,0,29.138
85,0,19940,0,2720,0.291,17340,0.015,0.185,0.007,2700,0,29.138
87,0,19940,0,2720,0.291,17340,0.015,0.185,0.007,2700,0,29.138
88,0,19940,0,2720,0.291,17340,0.015,0.185,0.007,2700,0,29.138
89,0,19940,0,2720,0.291,17340,0.015,0.185,0.007,2700,0,29.138
91,0,19940,0,2720,0.291,17340,0.015,0.185,0.007,2700,0,29.138
92,0,24120,0,3260,0.284,20780,0.014,0.166,0.019,3200,0.001,24.845
93,0,24120,0,3260,0.284,20780,0.014,0.166,0.019,3200,0.001,24.845
95,0,24120,0,3260,0.284,20780,0.014,0.166,0.019,3200,0.001,24.845
96,0,24120,0,3260,0.284,20780,0.014,0.166,0.019,3200,0.001,24.845
97,0,24120,0,3260,0.284,20780,0.014,0.166,0.019,3200,0.001,24.845
99,0,24120,0,3260,0.284,20780,0.014,0.166,0.019,3200,0.001,24.845
100,0,24120,0,3260,0.284,20780,0.014,0.166,0.019,3200,0.001,24.845
101,0,24120,0,3260,0.284,20780,0.014,0.166,0.019,3200,0.001,24.845
