time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0
51,0,3240,0,460,7.287,2440,0.353,2.92,0,460,0,547.42
53,0,3240,0,460,7.287,2440,0.353,2.92,0,460,0,547.42
54,0,3240,0,460,7.287,2440,0.353,2.92,0,460,0,547.42
55,0,3240,0,460,7.287,2440,0.353,2.92,0,460,0,547.42
57,0,3240,0,460,7.287,2440,0.353,2.92,0,460,0,547.42
58,0,3240,0,460,7.287,2440,0.353,2.92,0,460,0,547.42
60,0,3240,0,460,7.287,2440,0.353,2.92,0,460,0,547.42
61,0,6740,0,900,3.729,5840,0.254,1.712,0.478,920,0.018,299.32
62,0,6740,0,900,3.729,5840,0.254,1.712,0.478,920,0.018,299.32
64,0,6740,0,900,3.729,5840,0.254,1.712,0.478,920,0.018,299.32
65,0,6740,0,900,3.729,5840,0.254,1.712,0.478,920,0.018,299.32
66,0,6740,0,900,3.729,5840,0.254,1.712,0.478,920,0.018,299.32
68,0,6740,0,900,3.729,5840,0.254,1.712,0.478,920,0.018,299.32
69,0,6740,0,900,3.729,5840,0.254,1.712,0.478,920,0.018,299.32
70,0,6740,0,900,3.729,5840,0.254,1.712,0.478,920,0.018,299.32
72,0,10140,0,1380,2.713,8840,0.203,1.269,0.324,1360,0.013,191.55
73,0,10140,0,1380,2.713,8840,0.203,1.269,0.324,1360,0.013,191.55
74,0,10140,0,1380,2.713,8840,0.203,1.269,0.324,1360,0.013,191.55
76,0,10140,0,1380,2.713,8840,0.203,1.269,0.324,1360,0.013,191.55
77,0,10140,0,1380,2.713,8840,0.203,1.269,0.324,1360,0.013,191.55
78,0,10140,0,1380,2.713,8840,0.203,1.269,0.324,1360,0.013,191.55
80,0,10140,0,1380,2.713,8840,0.203,1.269,0.324,1360,0.013,191.55
81,0,13780,0,1900,2.11,11860,0.165,0.989,0.237,1860,0.01,147.1
82,0,13780,0,1900,2.11,11860,0.165,0.989,0.237,1860,0.01,147.1
84,0,13780,0,1900,2.11,11860,0.165,0.989,0.237,1860,0.01,147.1
85,0,13780,0,1900,2.11,11860,0.165,0.989,0.237,1860,0.01,147.1
86,0,13780,0,1900,2.11,11860,0.165,0.989,0.237,1860,0.01,147.1
88,0,13780,0,1900,2.11,11860,0.165,0.989,0.237,1860,0.01,147.1
89,0,13780,0,1900,2.11,11860,0.165,0.989,0.237,1860,0.01,147.1
90,0,13780,0,1900,2.11,11860,0.165,0.989,0.237,1860,0.01,147.1
92,0,18020,0,2440,1.716,15480,0.144,0.797,0.182,2420,0.008,116.57
93,0,18020,0,2440,1.716,15480,0.144,0.797,0.182,2420,0.008,116.57
94,0,18020,0,2440,1.716,15480,0.144,0.797,0.182,2420,0.008,116.57
96,0,18020,0,2440,1.716,15480,0.144,0.797,0.182,2420,0.008,116.57
97,0,18020,0,2440,1.716,15480,0.144,0.797,0.182,2420,0.008,116.57
98,0,18020,0,2440,1.716,15480,0.144,0.797,0.182,2420,0.008,116.57
100,0,18020,0,2440,1.716,15480,0.144,0.797,0.182,2420,0.008,116.57
101,0,21200,0,2820,1.56,18440,0.126,0.698,0.179,2900,0.007,104.18
102,0,21200,0,2820,1.56,18440,0.126,0.698,0.179,2900,0.007,104.18
104,0,21200,0,2820,1.56,18440,0.126,0.698,0.179,2900,0.007,104.18
105,0,21200,0,2820,1.56,18440,0.126,0.698,0.179,2900,0.007,104.18
106,0,21200,0,2820,1.56,18440,0.126,0.698,0.179,2900,0.007,104.18
108,0,21200,0,2820,1.56,18440,0.126,0.698,0.179,2900,0.007,104.18
109,0,21200,0,2820,1.56,18440,0.126,0.698,0.179,2900,0.007,104.18
