time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,2220,0,340,1.03,2020,0.246,0.447,0.067,300,0.001,54.722
32,0,2220,0,340,1.03,2020,0.246,0.447,0.067,300,0.001,54.722
33,0,2220,0,340,1.03,2020,0.246,0.447,0.067,300,0.001,54.722
35,0,2220,0,340,1.03,2020,0.246,0.447,0.067,300,0.001,54.722
36,0,2220,0,340,1.03,2020,0.246,0.447,0.067,300,0.001,54.722
37,0,2220,0,340,1.03,2020,0.246,0.447,0.067,300,0.001,54.722
39,0,2220,0,340,1.03,2020,0.246,0.447,0.067,300,0.001,54.722
41,0,6300,0,860,0.58,5480,0.107,0.263,0.023,860,0.001,23.409
42,0,6300,0,860,0.58,5480,0.107,0.263,0.023,860,0.001,23.409
43,0,6300,0,860,0.58,5480,0.107,0.263,0.023,860,0.001,23.409
45,0,6300,0,860,0.58,5480,0.107,0.263,0.023,860,0.001,23.409
46,0,6300,0,860,0.58,5480,0.107,0.263,0.023,860,0.001,23.409
48,0,6300,0,860,0.58,5480,0.107,0.263,0.023,860,0.001,23.409
49,0,6300,0,860,0.58,5480,0.107,0.263,0.023,860,0.001,23.409
50,0,9680,0,1340,0.425,8320,0.077,0.216,0.015,1300,0.001,18.894
52,0,9680,0,1340,0.425,8320,0.077,0.216,0.015,1300,0.001,18.894
53,0,9680,0,1340,0.425,8320,0.077,0.216,0.015,1300,0.001,18.894
54,0,9680,0,1340,0.425,8320,0.077,0.216,0.015,1300,0.001,18.894
56,0,9680,0,1340,0.425,8320,0.077,0.216,0.015,1300,0.001,18.894
57,0,9680,0,1340,0.425,8320,0.077,0.216,0.015,1300,0.001,18.894
58,0,9680,0,1340,0.425,8320,0.077,0.216,0.015,1300,0.001,18.894
60,0,9680,0,1340,0.425,8320,0.077,0.216,0.015,1300,0.001,18.894
61,0,13340,0,1840,0.395,11640,0.065,0.178,0.033,1820,0.001,15.184
62,0,13340,0,1840,0.395,11640,0.065,0.178,0.033,1820,0.001,15.184
64,0,13340,0,1840,0.395,11640,0.065,0.178,0.033,1820,0.001,15.184
65,0,13340,0,1840,0.395,11640,0.065,0.178,0.033,1820,0.001,15.184
66,0,13340,0,1840,0.395,11640,0.065,0.178,0.033,1820,0.001,15.184
68,0,13340,0,1840,0.395,11640,0.065,0.178,0.033,1820,0.001,15.184
69,0,13340,0,1840,0.395,11640,0.065,0.178,0.033,1820,0.001,15.184
71,0,17420,0,2340,0.347,15060,0.052,0.154,0.034,2380,0,12.838
72,0,17420,0,2340,0.347,15060,0.052,0.154,0.034,2380,0,12.838
73,0,17420,0,2340,0.347,15060,0.052,0.154,0.034,2380,0,12.838
75,0,17420,0,2340,0.347,15060,0.052,0.154,0.034,2380,0,12.838
76,0,17420,0,2340,0.347,15060,0.052,0.154,0.034,2380,0,12.838
77,0,17420,0,2340,0.347,15060,0.052,0.154,0.034,2380,0,12.838
79,0,17420,0,2340,0.347,15060,0.052,0.154,0.034,2380,0,12.838
81,0,20780,0,2820,0.315,17960,0.045,0.145,0.042,2840,0,11.307
82,0,20780,0,2820,0.315,17960,0.045,0.145,0.042,2840,0,11.307
83,0,20780,0,2820,0.315,17960,0.045,0.145,0.042,2840,0,11.307
85,0,20780,0,2820,0.315,17960,0.045,0.145,0.042,2840,0,11.307
86,0,20780,0,2820,0.315,17960,0.045,0.145,0.042,2840,0,11.307
87,0,20780,0,2820,0.315,17960,0.045,0.145,0.042,2840,0,11.307
89,0,20780,0,2820,0.315,17960,0.045,0.145,0.042,2840,0,11.307
90,0,20780,0,2820,0.315,17960,0.045,0.145,0.042,2840,0,11.307
91,0,24480,0,3320,0.298,21240,0.04,0.136,0.043,3280,0.001,10.19
93,0,24480,0,3320,0.298,21240,0.04,0.136,0.043,3280,0.001,10.19
94,0,24480,0,3320,0.298,21240,0.04,0.136,0.043,3280,0.001,10.19
95,0,24480,0,3320,0.298,21240,0.04,0.136,0.043,3280,0.001,10.19
97,0,24480,0,3320,0.298,21240,0.04,0.136,0.043,3280,0.001,10.19
98,0,24480,0,3320,0.298,21240,0.04,0.136,0.043,3280,0.001,10.19
99,0,24480,0,3320,0.298,21240,0.04,0.136,0.043,3280,0.001,10.19
101,0,24480,0,3320,0.298,21240,0.04,0.136,0.043,3280,0.001,10.19
102,0,28680,0,3880,0.283,24740,0.036,0.129,0.046,3880,0,9.387
104,0,28680,0,3880,0.283,24740,0.036,0.129,0.046,3880,0,9.387
