time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,2740,0,400,0.906,2340,0.051,0.219,0.111,360,0.002,27.389
33,0,2740,0,400,0.906,2340,0.051,0.219,0.111,360,0.002,27.389
35,0,2740,0,400,0.906,2340,0.051,0.219,0.111,360,0.002,27.389
36,0,2740,0,400,0.906,2340,0.051,0.219,0.111,360,0.002,27.389
37,0,2740,0,400,0.906,2340,0.051,0.219,0.111,360,0.002,27.389
39,0,2740,0,400,0.906,2340,0.051,0.219,0.111,360,0.002,27.389
40,0,2740,0,400,0.906,2340,0.051,0.219,0.111,360,0.002,27.389
41,0,6100,0,820,0.547,5300,0.034,0.226,0.143,840,0.004,20.045
43,0,6100,0,820,0.547,5300,0.034,0.226,0.143,840,0.004,20.045
44,0,6100,0,820,0.547,5300,0.034,0.226,0.143,840,0.004,20.045
45,0,6100,0,820,0.547,5300,0.034,0.226,0.143,840,0.004,20.045
47,0,6100,0,820,0.547,5300,0.034,0.226,0.143,840,0.004,20.045
48,0,6100,0,820,0.547,5300,0.034,0.226,0.143,840,0.004,20.045
49,0,6100,0,820,0.547,5300,0.034,0.226,0.143,840,0.004,20.045
51,0,6100,0,820,0.547,5300,0.034,0.226,0.143,840,0.004,20.045
52,0,9460,0,1280,0.44,8180,0.026,0.192,0.095,1260,0.003,16.718
54,0,9460,0,1280,0.44,8180,0.026,0.192,0.095,1260,0.003,16.718
55,0,9460,0,1280,0.44,8180,0.026,0.192,0.095,1260,0.003,16.718
56,0,9460,0,1280,0.44,8180,0.026,0.192,0.095,1260,0.003,16.718
58,0,9460,0,1280,0.44,8180,0.026,0.192,0.095,1260,0.003,16.718
59,0,9460,0,1280,0.44,8180,0.026,0.192,0.095,1260,0.003,16.718
60,0,9460,0,1280,0.44,8180,0.026,0.192,0.095,1260,0.003,16.718
62,0,13820,0,1840,0.368,12000,0.02,0.177,0.064,1880,0.002,12.922
63,0,13820,0,1840,0.368,12000,0.02,0.177,0.064,1880,0.002,12.922
64,0,13820,0,1840,0.368,12000,0.02,0.177,0.064,1880,0.002,12.922
66,0,13820,0,1840,0.368,12000,0.02,0.177,0.064,1880,0.002,12.922
67,0,13820,0,1840,0.368,12000,0.02,0.177,0.064,1880,0.002,12.922
68,0,13820,0,1840,0.368,12000,0.02,0.177,0.064,1880,0.002,12.922
70,0,13820,0,1840,0.368,12000,0.02,0.177,0.064,1880,0.002,12.922
71,0,13820,0,1840,0.368,12000,0.02,0.177,0.064,1880,0.002,12.922
73,0,17140,0,2320,0.338,14860,0.018,0.16,0.052,2300,0.002,11.266
74,0,17140,0,2320,0.338,14860,0.018,0.16,0.052,2300,0.002,11.266
75,0,17140,0,2320,0.338,14860,0.018,0.16,0.052,2300,0.002,11.266
77,0,17140,0,2320,0.338,14860,0.018,0.16,0.052,2300,0.002,11.266
78,0,17140,0,2320,0.338,14860,0.018,0.16,0.052,2300,0.002,11.266
79,0,17140,0,2320,0.338,14860,0.018,0.16,0.052,2300,0.002,11.266
81,0,17140,0,2320,0.338,14860,0.018,0.16,0.052,2300,0.002,11.266
82,0,20500,0,2800,0.308,17740,0.016,0.145,0.043,2760,0.001,9.846
83,0,20500,0,2800,0.308,17740,0.016,0.145,0.043,2760,0.001,9.846
85,0,20500,0,2800,0.308,17740,0.016,0.145,0.043,2760,0.001,9.846
86,0,20500,0,2800,0.308,17740,0.016,0.145,0.043,2760,0.001,9.846
87,0,20500,0,2800,0.308,17740,0.016,0.145,0.043,2760,0.001,9.846
89,0,20500,0,2800,0.308,17740,0.016,0.145,0.043,2760,0.001,9.846
90,0,20500,0,2800,0.308,17740,0.016,0.145,0.043,2760,0.001,9.846
91,0,20500,0,2800,0.308,17740,0.016,0.145,0.043,2760,0.001,9.846
93,0,25080,0,3420,0.279,21680,0.013,0.133,0.042,3340,0.001,9.249
94,0,25080,0,3420,0.279,21680,0.013,0.133,0.042,3340,0.001,9.249
95,0,25080,0,3420,0.279,21680,0.013,0.133,0.042,3340,0.001,9.249
97,0,25080,0,3420,0.279,21680,0.013,0.133,0.042,3340,0.001,9.249
98,0,25080,0,3420,0.279,21680,0.013,0.133,0.042,3340,0.001,9.249
99,0,25080,0,3420,0.279,21680,0.013,0.133,0.042,3340,0.001,9.249
101,0,25080,0,3420,0.279,21680,0.013,0.133,0.042,3340,0.001,9.249
