time (s),top_completeLatency (ms),top_transferred (messages),spout_completeLatency (ms),spout_transferred (messages),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms),bolt_executeLatency (ms),bolt_executed (messages),capacity,bolt_processLatency (ms)
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0
54,0,3500,0,480,4.176,2620,0.279,4.123,0.12,500,0.002,408.91
55,0,3500,0,480,4.176,2620,0.279,4.123,0.12,500,0.002,408.91
57,0,3500,0,480,4.176,2620,0.279,4.123,0.12,500,0.002,408.91
58,0,3500,0,480,4.176,2620,0.279,4.123,0.12,500,0.002,408.91
59,0,3500,0,480,4.176,2620,0.279,4.123,0.12,500,0.002,408.91
61,0,3500,0,480,4.176,2620,0.279,4.123,0.12,500,0.002,408.91
62,0,3500,0,480,4.176,2620,0.279,4.123,0.12,500,0.002,408.91
63,0,3500,0,480,4.176,2620,0.279,4.123,0.12,500,0.002,408.91
65,0,7920,0,1060,2.752,6860,0.221,2.243,0.057,1060,0.001,212.78
66,0,7920,0,1060,2.752,6860,0.221,2.243,0.057,1060,0.001,212.78
67,0,7920,0,1060,2.752,6860,0.221,2.243,0.057,1060,0.001,212.78
69,0,7920,0,1060,2.752,6860,0.221,2.243,0.057,1060,0.001,212.78
70,0,7920,0,1060,2.752,6860,0.221,2.243,0.057,1060,0.001,212.78
71,0,7920,0,1060,2.752,6860,0.221,2.243,0.057,1060,0.001,212.78
73,0,7920,0,1060,2.752,6860,0.221,2.243,0.057,1060,0.001,212.78
74,0,11220,0,1500,2.057,9780,0.166,1.632,0.04,1500,0.001,160.85
75,0,11220,0,1500,2.057,9780,0.166,1.632,0.04,1500,0.001,160.85
77,0,11220,0,1500,2.057,9780,0.166,1.632,0.04,1500,0.001,160.85
78,0,11220,0,1500,2.057,9780,0.166,1.632,0.04,1500,0.001,160.85
79,0,11220,0,1500,2.057,9780,0.166,1.632,0.04,1500,0.001,160.85
81,0,11220,0,1500,2.057,9780,0.166,1.632,0.04,1500,0.001,160.85
82,0,11220,0,1500,2.057,9780,0.166,1.632,0.04,1500,0.001,160.85
83,0,11220,0,1500,2.057,9780,0.166,1.632,0.04,1500,0.001,160.85
85,0,14640,0,2000,1.639,12700,0.137,1.293,0.041,1960,0.001,125.61
86,0,14640,0,2000,1.639,12700,0.137,1.293,0.041,1960,0.001,125.61
87,0,14640,0,2000,1.639,12700,0.137,1.293,0.041,1960,0.001,125.61
89,0,14640,0,2000,1.639,12700,0.137,1.293,0.041,1960,0.001,125.61
90,0,14640,0,2000,1.639,12700,0.137,1.293,0.041,1960,0.001,125.61
91,0,14640,0,2000,1.639,12700,0.137,1.293,0.041,1960,0.001,125.61
93,0,14640,0,2000,1.639,12700,0.137,1.293,0.041,1960,0.001,125.61
94,0,19100,0,2600,1.353,16500,0.116,1.007,0.046,2600,0.001,103.46
95,0,19100,0,2600,1.353,16500,0.116,1.007,0.046,2600,0.001,103.46
97,0,19100,0,2600,1.353,16500,0.116,1.007,0.046,2600,0.001,103.46
98,0,19100,0,2600,1.353,16500,0.116,1.007,0.046,2600,0.001,103.46
100,0,19100,0,2600,1.353,16500,0.116,1.007,0.046,2600,0.001,103.46
101,0,19100,0,2600,1.353,16500,0.116,1.007,0.046,2600,0.001,103.46
102,0,19100,0,2600,1.353,16500,0.116,1.007,0.046,2600,0.001,103.46
104,0,19100,0,2600,1.353,16500,0.116,1.007,0.046,2600,0.001,103.46
105,0,22540,0,3040,1.185,19560,0.103,0.878,0.039,3040,0.001,88.599
106,0,22540,0,3040,1.185,19560,0.103,0.878,0.039,3040,0.001,88.599
108,0,22540,0,3040,1.185,19560,0.103,0.878,0.039,3040,0.001,88.599
