1,10000,100,1,12,100,28884,54.943
1,10000,1,3,12,100,1535.4,127.09
3,100,10,6,12,100,1281.8,87.921
1,10000,10,6,12,100,1192.2,77.597
1,10000,10,6,3,1000,29469,41.223
3,100,100,1,1,10,0,0
3,100,100,1,1,10,1408.8,61.685
3,10000,100,3,3,1000,30181,83.177
3,10000,10,6,12,10,28659,36.014
1,100,100,6,12,1000,1483.4,41.067
1,10000,100,1,12,100,28604,325.2
3,100,10,6,3,1000,1421.2,89.732
3,100,10,3,1,1000,1324.3,40.768
3,100,10,3,3,10,30154,31.577
3,10000,100,6,3,10,29217,75.168
3,10000,10,6,1,1000,1236,59.472
3,100,1,6,3,1000,28933,45.044
1,100,10,6,3,10,67360,20.798
1,100,100,3,1,1000,68490,45.14
